Class Number,Date,Day,Link
L 1,August 05,Wednesday,https://drive.google.com/file/d/1hUcGz7ccHin-RinaosgBj7SSaw3xoq8q/view
L 2,August 06,Thursday,https://drive.google.com/file/d/1NYmdjDf8aFl1LcDcEgxi7bh2azLMfuHI/view
P 1,August 10,Monday,https://drive.google.com/file/d/1JjjU1YRghjGJ4GQJqX43Ihbhw73V7dHz/view
L 3,August 12,Wednesday,https://drive.google.com/file/d/1f4B6HjfyhMxz26SVeP3d5cM9Bx9P5tQd/view
L 4,August 13,Thursday,https://drive.google.com/file/d/1Dt6D0iWeHYDBZtoiBA7qaX0mDvVjrplR/view
P 2,August 17,Monday,https://drive.google.com/file/d/1OJQ5e7FyjoHj7bqPlTEFMAb-8Wb1NZS-/view
L 5,August 19,Wednesday,https://drive.google.com/file/d/1CWfn28EMMYa8hfkovdV3UyUXv6aYLtIq/view
L 6,August 20,Thursday,https://drive.google.com/file/d/1b1-RqXz9YSHsSty52jGSDqcnUmTHy2Vt/view
P 3,August 24,Monday,https://drive.google.com/file/d/1iKyfXzOfJNi-8jhut-HjjwP8n9T9QT0_/view
L 7,August 26,Wednesday,https://drive.google.com/file/d/1dKYyrQd66WFKY011rnnAe7lE-N7uCrR2/view
L 8,August 27,Thursday,https://drive.google.com/file/d/1Xa2DzF3BH_mFgKDcyAfGvGxwKwHPuCcJ/view
P 4,August 31,Monday,https://drive.google.com/file/d/1fmp75Ip5c3Io_EJTtmZxybwDxbPUqGTC/view
L 9,September 02,Wednesday,https://drive.google.com/file/d/1daEv6XbOsKl0TQeoPG3h_nGA0SCEytz5/view
L 10,September 03,Thursday,https://drive.google.com/file/d/1otQMN-xPyyaxVGPwgImT2ysiUpilGDFE/view
P 5,September 07,Monday,https://drive.google.com/file/d/1HYR2AVXlqdWzeCJL4___SpNOKazE-PT6/view
L 11,September 09,Wednesday,https://drive.google.com/file/d/19SKKOjjIK2zqkmzSxoICmm-kfM5uaUzV/view
L 12,September 10,Thursday,https://drive.google.com/file/d/14iKPW-0Z7uuHPGOy2GqrNffh3657v156/view
P 6,September 14,Monday,https://drive.google.com/file/d/1siDkK3P3Rs4PBAQiH8TIIh-npW0TlRxp/view
L 13,September 17,Thursday,https://drive.google.com/file/d/1UCpexlHPIImPx8qB22kdpwpLCVT01UwI/view
P 7,September 21,Monday,https://drive.google.com/file/d/1KyEEQwE7IT6YdD8SOoub5j_TOXTnvE0h/view
L 14,September 23,Wednesday,https://drive.google.com/file/d/1C9NIZAf8BM1qGiCtjtLN6-KCbXUVHSKY/view
L 15,September 24,Thursday,https://drive.google.com/file/d/1x1uzisY8WBiGYpZyzBc5ocnKf9_rd0fy/view
P 8,September 28,Monday,https://drive.google.com/file/d/1bPWSQxUzj-tVQa4oDOu-pRI9-3n6c96X/view
L 16,September 30,Wednesday,https://drive.google.com/file/d/1fDs8woOaCzTjz4C1vVNf7wtfiwd1f2uB/view
L 17,October 01,Thursday,https://drive.google.com/file/d/1tUS5vZcHaJtekPVIC-G-pe1_53TsFmRK/view
P 9,October 12,Monday,https://drive.google.com/file/d/13IjQ8doSZHJP2Sw1xP7IVUP5aHkjWEQE/view
L 18,October 14,Wednesday,https://drive.google.com/file/d/1tymRVnTp091QkO66teKNDEzTE2qS0Z76/view
L 19,October 15,Thursday,https://drive.google.com/file/d/19B9th54T05Pxuft_IgtHtuRhbGLEChDX/view
P 10,October 19,Monday,https://drive.google.com/file/d/1qOnvXDoKvBLctRQPDXaqJGVZP05RgctX/view
L 20,October 21,Wednesday,https://drive.google.com/file/d/1zZr_SePEvhouS1IJrtqSbgadfa4F9w-i/view
L 21,October 22,Thursday,https://drive.google.com/file/d/1XPVcbhWeu4YT4Q2oGEQpvteFYxSY9850/view
P 11,October 26,Monday,https://drive.google.com/file/d/1pgkDbD7TqBP-SkxNtZS1v310onWEY5VY/view
L 22,October 28,Wednesday,https://drive.google.com/file/d/1EtaTGUiVeoaE8SD4FQMYvIz6mM7wadbE/view
L 23,October 29,Thursday,https://drive.google.com/file/d/1DhyIJX2AGTjDMqnG8TeiIiWq9IXK5X3F/view
L 24,November 11,Wednesday,https://drive.google.com/file/d/1RJ7AUm9hZWa1dCGaJ7pvU_ywjLQ1ySYK/view
L 25,November 12,Thursday,https://drive.google.com/file/d/1qJw-gWpbcp60G69wQV1BQY-Nr0B3v5cf/view
L 26,November 19,Thursday,https://drive.google.com/file/d/1fXRLc0OHU8TzSMoNgMgxCY32u0QRtpts/view
L 27,November 25,Wednesday,https://drive.google.com/file/d/11YVzLtSy5rZoqoUuhs7Ca1p8nVy-Zgu2/view
L 28,November 26,Thursday,https://drive.google.com/file/d/1pw2ebV_ibDEmBDwg28dhPn7CsDIrCbMF/view

Legend:   L - Lecture   P - Practical